Generation:13, Observation:[[8, 33], [13, 5], [0, 0], [15, 20], [1, 8], [28, 0], [16, 21], [10, 0], [4, 3], [22, 8], [15, 2], [9, 5], [6, 32], [17, 0], [0, 0], [6, 28], [24, 0], [7, 5], [12, 12], [3, 36], [0, 9], [4, 35], [3, 24], [16, 24], [12, 10]], Rewards:[9, 14, 0, 15, 10, 9, 17, 8, 11, 17, 15, 13, 9, 12, 0, 11, 10, 12, 17, 7, 10, 7, 8, 14, 17]
Generation:14, Observation:[[8, 34], [13, 3], [0, 0], [15, 22], [0, 8], [31, 0], [16, 23], [10, 0], [4, 2], [23, 8], [18, 2], [9, 7], [6, 35], [17, 0], [0, 0], [6, 29], [27, 0], [8, 5], [12, 11], [3, 39], [0, 9], [4, 36], [3, 26], [16, 27], [12, 11]], Rewards:[8, 16, 0, 15, 8, 8, 16, 8, 10, 18, 17, 15, 9, 11, 0, 11, 10, 13, 17, 6, 9, 9, 8, 13, 17]
Generation:15, Observation:[[8, 35], [13, 4], [0, 0], [15, 25], [0, 8], [33, 0], [16, 26], [10, 0], [4, 0], [26, 8], [17, 2], [9, 8], [6, 36], [17, 0], [0, 0], [6, 30], [30, 0], [7, 5], [12, 12], [3, 42], [0, 9], [4, 39], [3, 28], [19, 27], [12, 13]], Rewards:[10, 16, 0, 15, 7, 9, 15, 8, 4, 16, 16, 15, 11, 10, 0, 11, 10, 13, 17, 5, 9, 8, 9, 15, 17]
Generation:16, Observation:[[8, 38], [13, 6], [0, 0], [15, 26], [2, 8], [35, 0], [16, 28], [10, 3], [4, 2], [27, 8], [14, 2], [9, 7], [6, 39], [17, 0], [0, 0], [7, 30], [31, 0], [4, 5], [12, 15], [3, 44], [0, 9], [4, 40], [3, 30], [19, 30], [12, 11]], Rewards:[10, 15, 0, 16, 9, 8, 16, 14, 9, 18, 14, 15, 10, 11, 0, 11, 10, 10, 17, 5, 10, 10, 8, 15, 17]
Generation:17, Observation:[[8, 40], [13, 4], [0, 0], [15, 29], [3, 8], [35, 1], [16, 31], [10, 0], [4, 4], [29, 8], [17, 2], [9, 9], [6, 40], [17, 0], [0, 0], [7, 33], [33, 0], [1, 5], [12, 14], [3, 46], [0, 9], [4, 43], [3, 28], [19, 33], [12, 12]], Rewards:[10, 16, 0, 16, 8, 14, 15, 8, 11, 16, 15, 15, 11, 11, 0, 12, 9, 10, 17, 5, 8, 10, 7, 16, 17]
Generation:18, Observation:[[8, 42], [13, 3], [0, 1], [15, 31], [1, 8], [37, 1], [16, 32], [10, 0], [4, 1], [31, 8], [16, 2], [9, 6], [6, 43], [19, 0], [0, 0], [7, 36], [34, 0], [3, 5], [12, 12], [3, 48], [0, 9], [4, 45], [3, 29], [19, 34], [12, 15]], Rewards:[10, 16, 3, 16, 9, 13, 17, 7, 9, 17, 16, 15, 10, 10, 0, 13, 9, 10, 17, 5, 9, 10, 7, 15, 17]
Generation:19, Observation:[[8, 45], [13, 1], [0, 2], [15, 32], [1, 5], [40, 1], [15, 32], [10, 0], [4, 3], [34, 8], [15, 2], [9, 3], [3, 43], [20, 0], [0, 0], [7, 39], [36, 0], [3, 7], [12, 14], [3, 51], [1, 9], [4, 47], [3, 31], [19, 35], [11, 15]], Rewards:[11, 12, 5, 15, 10, 13, 15, 7, 13, 18, 14, 13, 8, 11, 0, 12, 9, 10, 17, 5, 11, 10, 7, 15, 18]
Generation:20, Observation:[[8, 47], [15, 1], [0, 3], [14, 32], [1, 6], [42, 1], [12, 32], [10, 0], [4, 2], [37, 8], [15, 0], [9, 4], [3, 46], [20, 0], [0, 0], [7, 41], [39, 0], [4, 7], [12, 17], [3, 54], [0, 9], [4, 48], [3, 32], [21, 35], [11, 14]], Rewards:[11, 14, 7, 15, 10, 14, 15, 8, 12, 17, 10, 14, 5, 10, 0, 11, 9, 12, 18, 4, 9, 9, 7, 17, 17]
Generation:21, Observation:[[8, 48], [15, 0], [0, 4], [14, 34], [1, 8], [43, 1], [14, 32], [13, 0], [4, 5], [35, 8], [18, 0], [9, 2], [3, 47], [20, 0], [0, 0], [7, 44], [41, 0], [4, 6], [12, 18], [3, 55], [0, 9], [4, 49], [3, 35], [21, 36], [11, 15]], Rewards:[11, 10, 7, 15, 11, 14, 15, 8, 12, 18, 10, 13, 6, 10, 0, 10, 9, 12, 17, 4, 11, 9, 9, 17, 16]
Generation:22, Observation:[[8, 50], [18, 0], [0, 5], [17, 34], [4, 8], [42, 1], [14, 34], [13, 0], [4, 2], [38, 8], [18, 1], [9, 3], [3, 48], [20, 0], [0, 0], [7, 46], [40, 0], [7, 6], [12, 17], [3, 56], [0, 9], [4, 51], [3, 37], [21, 38], [12, 15]], Rewards:[11, 10, 8, 14, 13, 14, 15, 8, 11, 17, 14, 15, 6, 10, 0, 9, 9, 13, 16, 4, 10, 8, 8, 16, 16]
Generation:23, Observation:[[8, 51], [21, 0], [0, 7], [17, 36], [2, 8], [45, 1], [14, 37], [13, 0], [4, 5], [41, 8], [16, 1], [9, 4], [3, 50], [20, 0], [0, 0], [7, 48], [42, 0], [10, 6], [12, 15], [3, 59], [0, 9], [4, 53], [3, 40], [21, 41], [12, 13]], Rewards:[10, 10, 9, 15, 10, 14, 16, 9, 12, 17, 14, 13, 7, 10, 0, 9, 10, 14, 16, 5, 11, 9, 8, 15, 16]
Generation:24, Observation:[[8, 52], [21, 0], [0, 9], [17, 39], [0, 8], [48, 1], [15, 37], [13, 0], [4, 3], [42, 8], [19, 1], [9, 5], [3, 53], [21, 0], [0, 0], [7, 51], [44, 0], [9, 6], [12, 13], [3, 62], [0, 9], [2, 53], [3, 42], [21, 43], [12, 10]], Rewards:[9, 10, 9, 14, 8, 14, 15, 10, 14, 16, 15, 13, 8, 10, 0, 8, 10, 13, 16, 5, 9, 8, 9, 15, 16]
Generation:25, Observation:[[5, 52], [24, 0], [0, 11], [17, 40], [1, 8], [49, 1], [15, 39], [13, 0], [6, 3], [43, 8], [16, 1], [9, 7], [3, 56], [22, 0], [0, 0], [7, 52], [47, 0], [6, 6], [12, 12], [3, 65], [0, 9], [2, 55], [3, 40], [21, 46], [12, 7]], Rewards:[9, 9, 10, 15, 12, 14, 15, 9, 13, 17, 14, 14, 7, 10, 0, 9, 9, 12, 17, 5, 12, 8, 9, 15, 13]
Generation:26, Observation:[[5, 49], [24, 0], [0, 13], [17, 43], [0, 8], [50, 1], [15, 40], [13, 0], [6, 4], [44, 8], [16, 0], [9, 10], [3, 58], [22, 0], [0, 0], [7, 54], [48, 0], [4, 6], [12, 9], [3, 68], [0, 10], [2, 57], [3, 41], [21, 47], [14, 7]], Rewards:[12, 9, 10, 16, 9, 15, 14, 8, 13, 16, 10, 17, 7, 9, 0, 10, 9, 13, 16, 5, 11, 7, 9, 15, 14]
Generation:27, Observation:[[5, 51], [24, 0], [0, 14], [17, 45], [0, 6], [50, 0], [15, 38], [13, 0], [6, 7], [45, 8], [19, 0], [9, 9], [3, 60], [22, 0], [0, 0], [7, 52], [49, 0], [5, 6], [12, 12], [3, 70], [0, 10], [2, 58], [6, 41], [21, 48], [14, 8]], Rewards:[9, 9, 9, 14, 6, 9, 16, 9, 14, 15, 10, 17, 6, 10, 0, 13, 9, 11, 16, 5, 11, 6, 13, 15, 16]
Generation:28, Observation:[[5, 52], [24, 0], [0, 16], [17, 43], [0, 6], [50, 0], [14, 38], [13, 3], [6, 8], [48, 8], [17, 0], [9, 6], [3, 63], [22, 0], [0, 0], [7, 53], [52, 0], [6, 6], [12, 10], [3, 73], [0, 10], [1, 58], [8, 41], [21, 50], [14, 11]], Rewards:[9, 10, 9, 14, 6, 9, 16, 13, 14, 15, 9, 14, 6, 10, 0, 11, 8, 12, 16, 5, 10, 7, 15, 15, 17]
Generation:29, Observation:[[5, 54], [24, 3], [0, 17], [17, 44], [0, 6], [51, 0], [15, 38], [13, 2], [6, 7], [50, 8], [18, 0], [9, 7], [3, 66], [22, 0], [0, 0], [7, 55], [53, 0], [9, 6], [12, 13], [3, 75], [0, 10], [1, 61], [10, 41], [21, 51], [14, 12]], Rewards:[9, 15, 8, 16, 6, 9, 17, 14, 14, 16, 10, 13, 6, 11, 0, 9, 8, 13, 17, 5, 10, 6, 16, 15, 17]
Generation:30, Observation:[[5, 57], [24, 1], [0, 18], [17, 41], [0, 6], [52, 0], [15, 41], [13, 0], [6, 4], [53, 8], [19, 0], [9, 8], [3, 68], [23, 0], [2, 0], [7, 58], [56, 0], [7, 6], [12, 12], [3, 76], [0, 10], [1, 64], [13, 41], [21, 53], [14, 13]], Rewards:[8, 16, 8, 16, 7, 9, 17, 8, 12, 15, 10, 15, 6, 11, 4, 9, 8, 13, 15, 5, 10, 5, 15, 15, 17]
Generation:31, Observation:[[5, 60], [24, 0], [0, 21], [17, 43], [0, 6], [50, 0], [16, 41], [13, 0], [6, 7], [56, 8], [22, 0], [9, 7], [3, 71], [23, 0], [2, 0], [7, 60], [59, 0], [6, 6], [12, 11], [3, 77], [0, 12], [1, 67], [16, 41], [22, 53], [14, 16]], Rewards:[8, 10, 8, 18, 6, 9, 17, 8, 13, 16, 10, 14, 6, 10, 4, 10, 8, 12, 15, 5, 11, 4, 17, 14, 16]
Generation:32, Observation:[[2, 60], [24, 0], [0, 22], [18, 43], [0, 6], [51, 0], [19, 41], [13, 0], [6, 4], [58, 8], [20, 0], [9, 6], [3, 73], [23, 0], [2, 0], [7, 61], [60, 0], [3, 6], [12, 13], [3, 76], [0, 12], [1, 70], [16, 38], [25, 53], [14, 19]], Rewards:[6, 10, 7, 17, 7, 9, 19, 8, 13, 15, 11, 13, 7, 10, 4, 11, 8, 12, 14, 6, 8, 4, 17, 17, 16]
Generation:33, Observation:[[2, 61], [24, 0], [0, 24], [21, 43], [0, 6], [51, 0], [19, 43], [13, 0], [6, 7], [60, 8], [17, 0], [9, 8], [3, 76], [23, 0], [2, 0], [7, 63], [60, 0], [6, 6], [12, 11], [3, 78], [0, 12], [1, 73], [19, 38], [25, 56], [14, 18]], Rewards:[7, 9, 5, 17, 6, 9, 17, 8, 13, 14, 8, 15, 7, 10, 4, 11, 8, 12, 16, 7, 11, 4, 18, 16, 16]
Generation:34, Observation:[[2, 63], [24, 0], [0, 27], [21, 45], [0, 6], [53, 0], [22, 43], [13, 0], [6, 4], [62, 8], [20, 0], [9, 5], [3, 79], [23, 0], [2, 0], [9, 63], [60, 0], [6, 3], [12, 12], [0, 78], [0, 14], [1, 76], [19, 36], [25, 55], [14, 19]], Rewards:[9, 10, 4, 17, 9, 9, 18, 9, 13, 16, 9, 13, 7, 11, 5, 10, 8, 13, 15, 1, 8, 5, 17, 17, 16]
