Generation:13, Observation:[[52, 57], [56, 57], [54, 55], [50, 43], [49, 45], [49, 52], [49, 53], [45, 48], [59, 42], [56, 47], [50, 48], [37, 49], [49, 41], [59, 52], [45, 60], [50, 56], [50, 47], [41, 40], [54, 56], [50, 41], [47, 48], [42, 49], [47, 50], [45, 58], [53, 53]], Rewards:[18, 18, 16, 10, 6, 10, 10, 6, 13, 11, 9, 10, 7, 14, 10, 13, 8, 1, 16, 9, 6, 10, 10, 11, 15]
Generation:14, Observation:[[53, 57], [55, 57], [54, 55], [50, 43], [49, 46], [49, 52], [49, 53], [45, 48], [59, 40], [56, 47], [50, 48], [37, 49], [49, 41], [60, 52], [45, 60], [50, 56], [49, 47], [41, 40], [54, 56], [51, 41], [47, 48], [42, 49], [47, 50], [45, 56], [52, 53]], Rewards:[19, 20, 17, 11, 5, 8, 9, 6, 11, 12, 10, 10, 8, 14, 10, 13, 5, 1, 16, 14, 7, 10, 9, 9, 15]
Generation:15, Observation:[[52, 57], [54, 57], [54, 55], [50, 43], [49, 45], [49, 52], [49, 53], [44, 48], [59, 44], [55, 47], [50, 48], [37, 50], [49, 41], [59, 52], [45, 60], [50, 56], [49, 46], [41, 38], [54, 56], [52, 41], [47, 48], [42, 44], [47, 50], [45, 56], [58, 53]], Rewards:[19, 18, 16, 11, 7, 9, 10, 8, 11, 14, 11, 10, 6, 13, 11, 14, 6, 1, 16, 11, 7, 5, 8, 11, 15]
Generation:16, Observation:[[52, 57], [49, 57], [53, 55], [50, 43], [49, 43], [51, 52], [49, 53], [45, 48], [59, 44], [55, 51], [50, 48], [37, 52], [49, 41], [60, 52], [45, 60], [50, 56], [48, 46], [41, 38], [54, 52], [54, 41], [47, 48], [42, 47], [47, 50], [45, 56], [60, 53]], Rewards:[17, 14, 16, 10, 8, 15, 13, 6, 12, 13, 10, 12, 7, 13, 11, 15, 7, 1, 13, 11, 6, 7, 7, 11, 16]
Generation:17, Observation:[[50, 57], [56, 57], [48, 55], [50, 43], [49, 43], [51, 52], [49, 53], [47, 48], [59, 43], [55, 53], [50, 48], [37, 52], [49, 41], [59, 52], [45, 60], [50, 56], [49, 46], [41, 38], [54, 52], [51, 41], [47, 48], [42, 49], [47, 50], [45, 56], [56, 53]], Rewards:[15, 19, 12, 10, 8, 13, 12, 5, 12, 15, 9, 11, 8, 12, 10, 15, 6, 1, 12, 13, 5, 9, 6, 11, 15]
Generation:18, Observation:[[49, 57], [57, 57], [47, 55], [50, 43], [49, 48], [51, 52], [49, 53], [53, 48], [59, 43], [55, 51], [50, 48], [37, 51], [49, 41], [61, 52], [45, 60], [50, 56], [50, 46], [41, 38], [54, 52], [53, 41], [47, 48], [42, 51], [47, 50], [45, 59], [56, 53]], Rewards:[11, 19, 12, 11, 5, 15, 12, 12, 12, 10, 8, 10, 7, 15, 10, 13, 10, 1, 13, 13, 5, 10, 7, 10, 16]
Generation:19, Observation:[[47, 57], [57, 55], [45, 55], [50, 43], [49, 44], [51, 52], [49, 53], [52, 48], [59, 41], [55, 53], [50, 47], [37, 49], [49, 41], [62, 52], [45, 60], [50, 56], [56, 46], [41, 38], [54, 52], [53, 41], [47, 48], [42, 51], [47, 50], [45, 59], [55, 53]], Rewards:[11, 18, 12, 11, 10, 13, 12, 13, 12, 14, 10, 9, 8, 13, 9, 14, 13, 1, 11, 12, 7, 11, 9, 10, 14]
Generation:20, Observation:[[44, 57], [56, 55], [45, 55], [50, 43], [49, 47], [51, 52], [49, 53], [53, 48], [59, 42], [55, 54], [50, 47], [37, 50], [49, 41], [60, 52], [45, 60], [50, 56], [58, 46], [41, 38], [54, 52], [52, 41], [47, 48], [42, 53], [47, 50], [45, 59], [52, 53]], Rewards:[14, 17, 13, 13, 8, 12, 10, 14, 13, 16, 9, 9, 8, 12, 10, 13, 10, 1, 10, 13, 9, 12, 9, 11, 12]
Generation:21, Observation:[[44, 57], [55, 55], [48, 55], [50, 43], [49, 47], [51, 52], [49, 53], [51, 48], [59, 41], [55, 55], [50, 47], [37, 51], [49, 41], [60, 52], [45, 60], [50, 56], [56, 46], [41, 38], [57, 52], [53, 41], [47, 48], [42, 54], [47, 50], [45, 59], [53, 53]], Rewards:[13, 15, 11, 13, 8, 11, 11, 13, 13, 15, 9, 10, 8, 12, 10, 14, 12, 1, 13, 14, 9, 13, 8, 10, 12]
Generation:22, Observation:[[43, 57], [53, 55], [46, 55], [50, 43], [49, 45], [51, 52], [49, 57], [53, 48], [59, 42], [55, 55], [50, 47], [37, 49], [49, 41], [59, 52], [45, 60], [50, 56], [54, 46], [41, 38], [57, 52], [54, 41], [47, 48], [42, 55], [47, 50], [45, 59], [51, 53]], Rewards:[14, 12, 10, 13, 10, 12, 11, 12, 12, 14, 10, 9, 8, 11, 10, 12, 14, 1, 12, 14, 10, 11, 10, 11, 13]
