Generation:13, Observation:[[47, 43], [45, 49], [47, 55], [53, 56], [54, 48], [46, 41], [48, 51], [47, 51], [58, 54], [48, 50], [47, 46], [47, 57], [50, 46], [54, 45], [45, 50], [47, 58], [52, 57], [45, 51], [56, 50], [55, 52], [50, 51], [54, 54], [55, 48], [50, 49], [57, 47]], Rewards:[4, 5, 11, 14, 9, 3, 14, 10, 18, 12, 5, 10, 9, 8, 6, 10, 15, 8, 13, 17, 13, 14, 11, 10, 11]
Generation:14, Observation:[[47, 43], [45, 49], [47, 55], [53, 55], [53, 48], [46, 41], [47, 51], [47, 51], [58, 54], [48, 50], [47, 46], [47, 57], [50, 45], [54, 45], [45, 49], [47, 57], [53, 57], [45, 51], [56, 51], [55, 52], [50, 51], [54, 53], [55, 48], [50, 49], [57, 46]], Rewards:[4, 5, 10, 13, 8, 3, 9, 9, 19, 13, 6, 9, 9, 9, 5, 9, 14, 6, 13, 17, 12, 17, 11, 10, 11]
Generation:15, Observation:[[47, 43], [45, 49], [47, 55], [53, 56], [53, 47], [47, 41], [48, 51], [48, 51], [58, 54], [48, 50], [47, 46], [47, 57], [49, 45], [54, 45], [45, 50], [47, 56], [52, 57], [45, 51], [56, 52], [55, 51], [50, 52], [54, 52], [55, 48], [50, 49], [57, 47]], Rewards:[3, 5, 10, 14, 9, 3, 13, 13, 19, 12, 5, 9, 10, 9, 5, 9, 16, 6, 17, 12, 15, 15, 11, 11, 10]
Generation:16, Observation:[[48, 43], [44, 49], [47, 55], [53, 55], [53, 46], [48, 41], [49, 51], [48, 51], [57, 54], [48, 50], [47, 46], [47, 57], [49, 46], [54, 45], [45, 50], [47, 57], [53, 57], [45, 51], [56, 51], [55, 50], [50, 52], [54, 51], [55, 48], [50, 49], [57, 48]], Rewards:[7, 6, 10, 13, 8, 7, 12, 12, 18, 10, 3, 9, 9, 9, 7, 9, 14, 8, 14, 11, 17, 13, 11, 12, 9]
Generation:17, Observation:[[48, 43], [44, 49], [47, 55], [53, 54], [53, 47], [48, 41], [48, 51], [48, 51], [57, 54], [48, 50], [47, 46], [47, 57], [49, 45], [54, 45], [45, 51], [47, 56], [52, 57], [45, 51], [55, 51], [55, 51], [50, 52], [54, 50], [55, 48], [50, 49], [57, 49]], Rewards:[7, 5, 11, 13, 9, 7, 11, 11, 18, 10, 4, 9, 10, 9, 8, 10, 15, 8, 13, 13, 17, 10, 10, 10, 9]
Generation:18, Observation:[[48, 43], [44, 49], [48, 55], [53, 53], [53, 46], [47, 41], [49, 51], [48, 51], [57, 54], [48, 50], [47, 46], [47, 57], [49, 44], [54, 45], [45, 52], [47, 55], [53, 57], [45, 51], [56, 51], [55, 52], [50, 52], [54, 51], [55, 48], [50, 49], [57, 48]], Rewards:[7, 6, 13, 14, 9, 3, 10, 10, 19, 10, 4, 9, 9, 10, 11, 11, 15, 7, 11, 15, 15, 11, 10, 12, 10]
Generation:19, Observation:[[48, 43], [44, 49], [48, 55], [53, 54], [53, 45], [48, 41], [48, 51], [48, 51], [57, 54], [48, 50], [47, 46], [47, 57], [49, 45], [54, 45], [45, 51], [48, 55], [54, 57], [45, 51], [56, 50], [55, 51], [50, 52], [54, 50], [55, 48], [50, 49], [57, 48]], Rewards:[5, 6, 12, 12, 9, 5, 9, 9, 18, 8, 5, 9, 10, 7, 9, 12, 17, 9, 11, 13, 18, 9, 10, 10, 10]
Generation:20, Observation:[[48, 43], [44, 49], [48, 55], [53, 53], [53, 46], [47, 41], [49, 51], [48, 51], [57, 54], [48, 50], [48, 46], [47, 57], [49, 45], [54, 45], [45, 52], [48, 54], [53, 57], [45, 51], [56, 49], [55, 52], [50, 52], [54, 49], [55, 48], [50, 49], [57, 49]], Rewards:[5, 5, 12, 14, 9, 3, 12, 10, 19, 10, 6, 8, 9, 9, 11, 12, 15, 9, 10, 14, 15, 9, 9, 11, 9]
Generation:21, Observation:[[49, 43], [44, 49], [48, 55], [53, 52], [53, 45], [48, 41], [48, 51], [48, 51], [57, 54], [48, 50], [48, 46], [47, 57], [49, 46], [54, 45], [45, 51], [48, 55], [54, 57], [45, 51], [56, 48], [55, 53], [50, 52], [54, 50], [55, 48], [50, 48], [57, 48]], Rewards:[11, 8, 11, 12, 8, 4, 7, 7, 19, 8, 5, 9, 11, 7, 9, 11, 17, 9, 9, 17, 17, 10, 10, 11, 8]
Generation:22, Observation:[[49, 43], [44, 49], [48, 55], [53, 53], [53, 46], [47, 41], [49, 51], [48, 51], [57, 54], [48, 50], [48, 46], [47, 58], [49, 45], [54, 45], [45, 50], [48, 56], [53, 57], [45, 51], [56, 47], [55, 52], [50, 52], [53, 50], [55, 48], [50, 48], [57, 48]], Rewards:[10, 8, 12, 13, 9, 3, 12, 10, 19, 9, 6, 8, 8, 10, 7, 9, 15, 9, 11, 15, 17, 11, 11, 12, 10]
