3
2
0;[7,2][5,5][5,6][1,6][10,7][7,5][1,2][1,8][8,6][0,2][7,9][5,9][10,13][5,7][10,10][3,10][8,7][6,7][12,9][5,7][5,3][8,7][9,4][6,5][7,7];9,4,5,7,11,9,0,14,10,0,12,7,21,6,21,12,10,9,20,6,5,10,12,9,8,;
1;[4,2][8,5][6,6][0,6][12,7][8,5][1,3][3,8][11,6][0,2][8,9][3,9][11,13][5,5][13,10][3,8][5,7][8,7][13,9][6,7][7,3][6,7][9,6][5,5][4,7];4,6,9,5,13,6,3,13,9,0,15,11,20,7,23,13,9,9,21,8,12,8,10,7,11,;
2;[1,2][10,5][6,9][0,6][14,7][9,5][2,3][5,8][12,6][0,2][10,9][1,9][12,13][5,8][13,12][3,11][8,7][8,9][16,9][7,7][10,3][6,6][9,8][4,5][4,6];1,7,11,4,13,8,4,13,8,0,14,13,20,13,22,14,9,12,19,11,11,10,12,6,8,;
3;[0,2][11,5][6,7][0,6][15,7][10,5][2,6][7,8][14,6][0,2][10,12][1,10][14,13][5,6][14,12][3,10][6,7][11,9][18,9][10,7][12,3][6,7][9,11][1,5][4,5];0,5,12,4,14,4,8,14,10,0,15,15,20,9,20,14,12,16,18,9,9,12,15,4,5,;
4;[0,2][14,5][9,7][0,6][17,7][12,5][3,6][7,5][15,6][0,4][12,12][1,12][17,13][5,5][15,12][3,9][9,7][11,11][19,9][10,8][13,3][6,10][9,8][4,5][4,6];0,5,12,6,14,5,8,6,10,1,16,15,22,6,19,13,12,16,18,13,9,15,11,6,8,;
5;[0,2][14,3][9,6][0,6][18,7][13,5][4,6][7,3][18,6][0,4][14,12][1,13][18,13][5,7][17,12][3,10][9,5][13,11][22,9][13,8][14,3][6,9][9,7][7,5][4,5];0,4,9,7,14,3,9,6,12,3,17,16,20,13,19,15,7,15,18,13,4,13,11,8,7,;
6;[0,2][15,3][9,9][0,6][20,7][14,5][6,6][7,1][20,6][0,4][17,12][0,13][21,13][5,6][20,12][3,12][12,5][14,11][23,9][14,8][17,3][6,6][9,6][6,5][4,2];1,7,14,6,15,5,9,6,10,4,17,14,22,9,17,13,7,15,19,13,5,9,10,8,4,;
7;[0,2][16,3][9,7][0,6][23,7][15,5][7,6][7,0][22,6][0,4][18,12][0,13][21,16][5,4][20,15][3,13][14,5][17,11][25,9][17,8][20,3][6,8][11,6][5,5][4,5];1,4,15,8,17,5,12,6,14,3,17,13,21,6,19,14,5,16,20,15,5,15,10,6,6,;
8;[0,2][17,3][9,6][0,6][26,7][18,5][10,6][7,0][23,6][0,4][19,12][0,15][22,16][5,6][21,15][3,11][16,5][19,11][27,9][17,11][23,3][6,10][12,6][6,5][4,2];1,4,11,6,17,7,10,5,12,4,18,13,20,9,18,15,5,16,18,15,8,13,9,8,4,;
9;[0,2][19,3][12,6][0,6][27,7][18,2][12,6][7,0][26,6][0,4][21,12][0,15][25,16][5,4][22,15][3,13][18,5][21,11][30,9][19,11][23,2][6,9][15,6][8,5][4,3];1,5,10,8,17,2,10,5,14,5,17,14,21,7,19,16,6,16,17,16,5,16,9,11,5,;
10;[0,3][21,3][15,6][0,6][28,7][19,2][14,6][7,0][29,6][0,4][24,12][0,15][28,16][5,3][24,15][3,10][21,5][22,11][32,9][21,11][26,2][6,12][17,6][11,5][4,2];4,4,9,7,16,3,10,4,14,6,17,15,21,5,18,15,7,17,17,15,5,18,9,9,4,;
11;[0,5][23,3][18,6][0,6][30,7][22,2][16,6][7,0][32,6][0,4][25,12][0,15][30,16][5,1][25,15][3,12][24,5][24,11][34,9][22,11][28,2][6,9][19,6][13,5][4,3];6,5,9,7,17,4,10,4,12,6,18,14,21,5,18,17,8,16,17,14,6,17,9,7,4,;
12;[0,8][24,3][21,6][0,6][33,7][23,2][17,6][7,0][33,6][0,4][26,12][0,15][32,16][5,4][28,15][3,15][23,5][26,11][36,9][25,11][29,2][6,12][20,6][16,5][4,2];11,6,7,7,15,3,9,5,11,5,17,15,21,6,18,17,5,16,17,16,5,19,8,7,5,;
13;[0,9][27,3][23,6][0,6][34,7][25,2][20,6][7,0][36,6][0,4][28,12][0,18][33,16][5,1][30,15][3,13][26,5][26,12][38,9][28,11][31,2][6,9][22,6][14,5][4,3];10,6,8,7,16,4,9,5,11,6,17,16,20,6,19,18,6,16,16,17,6,16,8,7,5,;
14;[0,12][29,3][25,6][0,6][37,7][26,2][22,6][7,0][38,6][0,4][30,12][0,18][35,16][5,3][31,15][3,12][27,5][29,12][40,9][30,11][33,2][6,10][25,6][12,5][4,1];13,5,8,7,15,5,8,5,12,6,16,15,20,6,19,16,6,15,16,17,6,16,8,8,5,;
15;[0,14][32,3][27,6][0,6][39,7][27,2][25,6][7,0][39,6][0,4][31,12][0,18][36,16][5,4][33,15][3,14][28,5][30,12][41,9][30,14][36,2][6,13][26,6][9,5][4,4];13,6,7,8,15,3,8,6,11,4,15,16,19,6,19,16,8,14,16,15,5,16,8,11,6,;
16;[0,16][33,3][29,6][0,6][42,7][28,2][26,6][7,0][42,6][0,4][31,14][0,18][37,16][5,1][36,15][3,15][29,5][33,12][44,9][33,14][39,2][6,10][27,6][6,5][4,1];15,6,8,6,15,5,8,5,11,6,15,15,18,5,17,16,7,16,16,15,8,17,8,9,5,;
17;[0,13][35,3][31,6][0,6][45,7][30,2][29,6][7,0][43,6][0,4][34,14][0,18][39,16][5,4][37,15][3,16][31,5][35,12][47,9][36,14][39,0][6,11][29,6][8,5][4,4];12,4,8,8,16,4,8,6,12,4,16,16,19,6,18,17,7,16,15,17,4,16,8,11,6,;
18;[0,16][37,3][33,6][0,6][46,7][32,2][30,6][7,0][44,6][0,4][35,14][0,18][42,16][5,2][40,15][3,15][32,5][38,12][49,9][39,14][41,0][6,12][31,6][5,5][4,1];16,6,9,7,17,5,8,6,13,6,16,15,19,5,17,16,7,14,16,15,4,17,7,8,6,;
19;[0,15][39,3][36,6][0,6][48,7][35,2][32,6][7,0][47,6][0,4][37,14][0,18][45,16][5,4][43,15][3,16][33,5][38,15][51,9][39,17][44,0][6,14][34,6][6,5][4,2];12,7,8,7,17,5,7,6,13,5,14,17,18,7,15,17,7,15,16,19,4,14,8,9,6,;
20;[0,18][42,3][39,6][0,6][49,7][38,2][34,6][7,0][48,6][0,4][39,14][0,18][45,19][5,1][43,18][3,14][35,5][41,15][54,9][42,17][46,0][6,16][35,6][9,5][4,3];14,7,8,7,18,6,7,5,13,6,13,14,20,7,18,14,7,14,16,16,5,17,7,11,5,;
21;[0,19][45,3][42,6][0,6][52,7][40,2][37,6][7,0][49,6][0,4][40,14][0,19][48,19][5,4][45,18][3,16][37,5][44,15][57,9][43,17][48,0][6,13][37,6][6,5][4,2];14,7,8,7,18,5,7,6,13,5,13,14,18,7,17,16,6,15,16,15,6,17,7,9,6,;
22;[0,16][46,3][45,6][0,6][53,7][42,2][39,6][7,0][52,6][0,4][43,14][0,19][51,19][5,3][46,18][3,19][38,5][45,15][58,9][45,17][50,0][6,15][40,6][8,5][4,4];13,7,8,8,18,4,8,6,13,5,13,15,19,6,17,17,7,12,16,14,5,16,8,11,6,;
23;[0,18][48,3][47,6][0,6][56,7][43,2][40,6][7,0][55,6][0,4][46,14][0,19][53,19][5,5][47,18][3,16][41,5][47,15][60,9][46,17][51,0][6,16][42,6][6,5][4,3];15,7,9,8,17,5,7,7,13,5,13,15,20,8,15,15,6,14,16,13,6,16,8,8,5,;
