3
2
0;[8,3][8,9][4,4][3,1][5,6][8,2][8,0][10,9][3,8][0,5][7,1][4,6][6,8][2,6][7,1][0,5][3,0][0,8][5,9][3,3][6,7][5,4][1,0][6,10][2,1];12,18,10,6,9,13,13,21,6,8,13,9,13,7,13,8,5,6,12,8,13,9,3,17,5,;
1;[6,3][7,9][4,1][0,1][8,6][8,0][8,0][10,12][1,8][0,5][6,1][3,6][9,8][3,6][8,1][0,6][3,0][0,8][7,9][6,3][6,5][5,5][1,1][6,11][2,0];9,18,10,4,14,11,11,24,6,6,9,7,19,7,12,8,4,8,18,9,5,5,6,12,5,;
2;[6,5][6,9][3,1][0,0][7,6][10,0][8,0][10,13][2,8][0,5][3,1][0,6][8,8][4,6][10,1][0,9][3,0][0,10][6,9][6,2][6,7][4,5][1,0][7,11][2,1];6,12,9,0,13,10,12,22,9,4,9,6,15,11,11,8,6,7,12,13,10,11,4,18,8,;
3;[5,5][4,9][3,0][0,0][5,6][10,0][8,0][10,10][3,8][0,5][3,0][0,6][5,8][4,5][11,1][0,10][3,0][0,10][8,9][6,0][6,6][1,5][1,1][7,13][2,0];11,10,5,0,12,10,10,20,8,4,5,5,11,11,14,7,5,7,17,10,12,7,11,19,6,;
4;[4,5][4,10][2,0][0,0][7,6][10,0][8,0][10,11][1,8][0,5][2,0][0,3][8,8][6,5][12,1][0,10][3,0][0,11][8,10][3,0][6,7][2,5][3,1][7,15][2,0];13,12,5,0,14,9,9,21,10,3,5,4,15,11,15,5,6,6,16,6,12,8,11,17,5,;
5;[1,5][2,10][0,0][0,0][8,6][10,0][8,0][10,12][2,8][0,8][3,0][0,3][10,8][9,5][15,1][0,11][3,0][0,13][8,13][3,0][6,5][1,5][3,4][7,16][2,0];10,11,0,0,13,9,7,19,11,5,8,3,16,13,12,5,8,5,17,8,12,10,12,16,6,;
6;[1,4][1,10][1,0][0,0][5,6][10,0][8,0][10,13][3,8][0,8][2,0][0,3][8,8][10,5][18,1][0,11][5,0][0,13][11,13][3,0][6,6][1,6][3,2][7,19][2,1];8,9,4,0,14,8,8,19,13,5,7,5,14,13,10,4,8,3,21,8,12,9,13,17,12,;
7;[1,3][0,10][0,0][0,0][2,6][10,0][8,0][10,14][2,8][0,8][1,0][0,3][6,8][11,5][21,1][0,13][5,0][0,13][11,15][3,0][8,6][0,6][6,2][7,22][2,2];12,4,0,0,12,7,9,20,12,4,6,6,12,14,10,4,7,4,22,10,13,5,13,17,13,;
8;[3,3][0,10][0,0][0,0][3,6][10,0][8,0][10,12][0,8][0,9][4,0][0,3][7,8][12,5][23,1][0,13][5,0][0,13][14,15][3,0][8,7][0,6][6,5][7,24][2,3];11,5,0,0,12,7,9,19,6,6,9,5,13,13,9,5,9,5,23,8,15,5,11,16,11,;
9;[3,6][1,10][0,0][0,0][6,6][10,0][8,0][10,14][1,8][0,9][1,0][0,3][4,8][14,5][26,1][2,13][5,0][0,13][14,17][3,0][8,10][0,6][6,7][7,21][2,1];13,11,0,0,12,8,10,21,11,6,4,4,13,12,9,11,8,3,21,8,17,4,13,18,12,;
10;[3,5][0,10][1,0][0,0][4,6][10,0][8,0][10,11][2,8][0,9][0,0][0,3][5,8][15,5][28,1][0,13][5,0][0,13][16,17][3,0][8,11][0,6][6,9][5,21][2,3];12,4,6,0,13,9,10,18,10,6,0,4,13,12,8,5,9,5,22,8,18,5,15,16,11,;
11;[3,6][0,10][0,0][0,0][2,6][10,0][8,0][10,14][4,8][0,12][0,0][0,0][4,8][16,5][29,1][0,13][5,0][0,13][13,17][3,3][8,9][0,3][6,11][5,23][2,6];12,5,0,0,12,9,11,21,14,4,0,0,14,13,8,4,10,4,21,13,16,4,16,17,12,;
12;[3,3][0,10][0,0][0,0][2,8][10,0][8,0][10,13][1,8][0,12][0,0][0,0][6,8][19,5][31,1][0,11][5,0][0,13][15,17][3,1][8,10][0,3][3,11][5,24][2,3];13,3,0,0,11,9,9,21,12,5,0,0,13,14,8,4,9,5,21,14,15,5,12,17,12,;
13;[3,5][0,8][0,0][0,0][1,8][10,0][8,0][10,12][4,8][0,13][0,0][0,2][4,8][21,5][34,1][0,11][5,0][0,12][16,17][3,0][8,9][1,3][0,11][5,27][1,3];14,3,0,0,11,8,10,20,12,4,0,5,12,13,7,5,9,3,22,8,16,13,5,18,13,;
