2
2
0;[6,9][3,9][6,1][1,6][8,2][7,7][7,6][9,3][1,0][6,8][9,2][7,13][5,9][9,12][0,10][10,9][2,0][0,1][2,4][9,3][11,9][5,11][7,3][0,4][9,0];19,14,5,6,8,16,15,12,0,17,11,23,18,24,10,21,2,1,4,12,22,20,9,3,7,;
1;[3,9][3,6][9,1][1,3][6,2][7,10][8,6][9,1][0,0][8,8][9,4][7,16][3,9][9,15][0,10][10,11][2,0][0,0][5,4][9,4][14,9][5,12][4,3][0,4][9,0];13,9,10,3,6,19,17,10,0,18,15,23,13,24,12,21,2,0,8,15,22,20,5,4,7,;
2;[4,9][3,5][11,1][1,2][5,2][7,11][8,7][9,0][0,0][7,8][9,5][7,17][6,9][9,16][0,10][10,13][2,0][0,3][5,1][9,6][15,9][5,14][4,1][0,2][9,0];13,8,12,3,7,19,16,9,0,17,14,23,18,24,11,21,1,4,6,15,22,20,5,2,9,;
3;[5,9][3,3][9,1][1,0][4,2][7,14][8,9][9,0][3,0][8,8][9,6][7,20][5,9][9,17][0,10][10,15][2,0][0,5][4,1][9,5][16,9][5,17][2,1][0,2][9,0];14,8,11,0,7,19,18,9,3,17,16,24,14,23,12,22,1,6,5,13,21,20,4,2,9,;
4;[7,9][3,0][11,1][0,0][6,2][7,15][8,12][9,0][6,0][6,8][9,7][7,22][4,9][9,18][0,10][10,17][2,0][0,6][3,1][9,7][18,9][5,20][4,1][0,2][9,0];17,3,12,0,8,19,18,9,6,14,15,24,13,23,11,22,1,7,4,15,21,20,5,2,9,;
5;[4,9][0,0][12,1][0,0][3,2][7,16][6,12][9,0][7,0][6,6][9,9][7,23][6,9][9,21][0,10][10,19][4,0][3,6][3,0][9,10][20,9][5,22][6,1][3,2][9,3];14,0,13,0,4,19,17,8,6,12,16,24,15,23,10,22,3,9,2,18,21,20,7,4,11,;
6;[5,9][0,0][15,1][0,0][4,2][7,19][6,13][9,0][10,0][4,6][9,11][4,23][9,9][9,23][0,7][10,21][4,0][1,6][3,0][9,12][22,9][5,24][4,1][1,2][9,4];13,0,14,0,6,19,16,9,10,11,17,20,15,24,8,23,4,7,2,18,22,21,5,3,12,;
7;[5,10][0,0][17,1][0,0][3,2][7,22][6,14][9,0][7,0][4,4][10,11][4,24][11,9][9,26][0,6][10,22][4,0][1,7][5,0][10,12][23,9][5,27][6,1][0,2][8,4];13,0,14,0,5,20,16,11,7,9,17,19,15,24,6,22,3,10,4,18,21,23,8,2,12,;
8;[2,10][0,0][19,1][0,0][5,2][7,25][6,16][9,0][8,0][4,2][10,12][4,27][13,9][9,29][0,6][12,22][4,0][3,7][3,0][10,15][26,9][5,29][3,1][0,2][7,4];13,0,14,0,8,20,17,10,9,6,16,19,15,24,7,21,4,11,3,18,23,22,5,2,12,;
9;[5,10][0,0][20,1][0,0][5,0][7,24][3,16][9,0][10,0][4,0][10,15][4,29][14,9][9,30][0,6][10,22][4,2][3,10][0,0][9,15][29,9][5,32][6,1][0,2][5,4];13,0,15,0,5,19,14,9,11,4,18,21,16,24,7,20,6,12,0,17,23,22,8,3,10,;
10;[2,10][0,0][21,1][0,0][4,0][7,25][3,18][9,0][8,0][4,1][7,15][4,31][15,9][9,33][0,6][8,22][6,2][4,10][2,0][9,16][31,9][5,35][4,1][1,2][5,1];12,0,15,0,4,20,14,11,9,5,16,21,17,24,8,19,10,13,2,18,22,23,5,3,7,;
11;[4,10][0,0][20,1][0,0][5,0][7,23][3,19][9,0][11,0][3,1][9,15][4,34][16,9][9,35][0,6][11,22][6,4][4,7][4,0][9,14][33,9][5,38][1,1][0,2][5,0];13,0,14,0,6,19,15,9,11,5,17,21,18,24,8,20,10,12,4,16,22,23,2,3,6,;
12;[3,10][0,0][21,1][0,3][4,0][7,24][3,21][9,0][10,0][3,0][12,15][4,36][19,9][9,37][0,8][11,25][6,6][4,10][2,0][9,17][34,9][5,40][4,1][0,1][5,0];12,0,14,4,5,19,15,9,10,3,17,21,18,24,8,20,11,13,2,16,22,23,7,1,6,;
13;[5,10][0,0][22,1][0,0][1,0][7,25][3,24][9,0][8,0][1,0][12,18][4,38][20,9][9,39][0,8][14,25][6,9][4,9][3,0][9,19][35,9][5,42][2,1][0,1][5,0];13,0,14,0,2,19,15,10,8,2,18,21,17,24,9,20,12,11,5,16,22,23,6,4,7,;
